"","date","country","credit","gdp","inf","stock","yield","global_factor","fin_factor","iv1","iv2","q","year","NFCI","EPU","USRECD","USUN"
"4272",2008-01-01,"Honduras",0.697086134798819,NA,178.938262939453,NA,NA,8.8329229611351,-0.134324512602888,-5.0841520519985,0.522567970120074,"1","2008",0.591836153846154,121.600591023763,1,0.957066512881727
"4273",2008-04-01,"Honduras",0.699594404530738,NA,185.387329101562,NA,NA,1.35420449512798,0.502867516829878,-8.29370494734297,-3.19022253943773,"2","2008",0.560867692307692,97.012565612793,1,1.0912071710195
"4274",2008-07-01,"Honduras",0.690273334308727,NA,193.252059936523,NA,NA,11.4020226268503,0.0255402144464528,-11.9790719128178,2.15284776224807,"3","2008",0.86131,131.133346557617,1,1.3086908694591
"4275",2008-10-01,"Honduras",0.683098616337148,NA,195.076675415039,NA,NA,16.9600673155864,0.899069997814008,-14.2024175417059,8.11134724739541,"4","2008",2.52301769230769,161.584843953451,1,1.50007197877246
"4276",2009-01-01,"Honduras",0.686479890666188,NA,195.988983154297,NA,NA,11.0401011275129,1.51639185709886,-15.3471618795056,-2.16414464844743,"1","2009",1.88298153846154,175.321212768555,1,1.43035721783031
"4277",2009-04-01,"Honduras",0.678509220411031,NA,197.499008178711,NA,NA,-4.47209240597616,1.88430409362823,-12.8827408748613,-4.30164928512868,"2","2009",1.00035461538462,133.865152994792,1,1.25694836998473
"4278",2009-07-01,"Honduras",0.673564639261684,NA,199.795516967773,NA,NA,-4.46442036101958,2.46389697929505,-5.63144572675675,-10.1187843264492,"3","2009",0.299221538461538,141.425537109375,0,1.10916944436047
"4279",2009-10-01,"Honduras",0.683436294172944,NA,200.739273071289,NA,NA,-2.6767584706925,2.36635688972487,-4.17378882447596,-6.10023173212923,"4","2009",-0.0156669230769231,125.171297709147,0,1.03768933123727
"4280",2010-01-01,"Honduras",0.677184474584757,NA,203.224533081055,NA,NA,-0.32136297117257,1.03477429839448,-0.885348260600051,-4.80716766887619,"1","2010",-0.237493076923077,139.875981648763,0,1.02766848215758
"4281",2010-04-01,"Honduras",0.667393767804054,NA,205.898544311523,NA,NA,1.61175263966972,2.37653304294613,1.28343647151076,-0.528451739175649,"2","2010",-0.225867692307692,142.916656494141,0,1.08928576849582
"4282",2010-07-01,"Honduras",0.656565538543822,NA,208.950057983398,NA,NA,3.6005351261632,1.76414167873464,0.98131086522033,-0.34945142430697,"3","2010",-0.243030769230769,169.823415120443,0,1.09826964720501
"4283",2010-10-01,"Honduras",0.661118163575483,NA,213.259918212891,NA,NA,-2.78096436001705,1.15798300624204,-0.160679093097684,-4.19440581987494,"4","2010",-0.400791428571429,169.322779337565,0,0.970389037962482
"4284",2011-01-01,"Honduras",0.669917917273377,NA,216.311431884766,NA,NA,-1.73586977564035,0.471090603487794,2.20777037482958,-3.21613706661074,"1","2011",-0.49036,154.011240641276,0,0.879447870461096
"4285",2011-04-01,"Honduras",0.660225939872832,NA,221.470703125,NA,NA,3.34245624090448,1.60597613879938,0.850070855722843,-0.779456070123038,"2","2011",-0.483384615384615,147.258862813314,0,0.887595017705296
"4286",2011-07-01,"Honduras",0.673019620991309,NA,224.459289550781,NA,NA,11.2859209178553,1.66642963516267,0.817447033143614,1.94657506008095,"3","2011",-0.148133571428571,215.890955607096,0,1.05098626099976
"4287",2011-10-01,"Honduras",0.697679710520844,NA,225.308685302734,NA,NA,5.65907586852205,2.52471916727348,2.14004273983529,-0.980582768705555,"4","2011",0.0353492307692308,171.825653076172,0,1.0228449938164
"4288",2012-01-01,"Honduras",0.71910393863785,NA,228.328735351562,NA,NA,-1.48451194045271,2.72752086709902,3.05134941547491,-1.05460817678853,"1","2012",-0.26319,155.15891011556,0,0.87536590547514
"4289",2012-04-01,"Honduras",0.726671151506552,NA,232.921737670898,NA,NA,5.76634665717233,2.19849551998028,0.0433040669131782,2.7490098918453,"2","2012",-0.251139230769231,163.256413777669,0,0.83400708950812
"4290",2012-07-01,"Honduras",0.745628410256064,NA,234.714904785156,NA,NA,1.56364024509744,2.59720242504613,-0.304505762920129,-0.467820163185981,"3","2012",-0.342321538461538,170.836736043294,0,0.76377566513692
"4291",2012-10-01,"Honduras",0.775801803245266,NA,237.703491210938,NA,NA,0.731396819245121,2.15054175272274,1.05766518236391,-0.356004494232155,"4","2012",-0.493663846153846,182.086766560872,0,0.736979657941883
"4292",2013-01-01,"Honduras",0.783459912431215,NA,241.289810180664,NA,NA,-1.72444350134818,1.57137620304131,1.42233896429826,-1.66103144359202,"1","2013",-0.578860769230769,132.37607828776,0,0.748422696606916
