,date,Korea,Australia,Iceland,United Kingdom,Denmark,Spain,Japan,Norway,Canada,Finland,Netherlands,United States,Mexico,Belgium,Germany,Luxembourg,Portugal,Italy,Austria,Ireland,Switzerland,Sweden,France,Greece
67,1989-Q3,2.307324988,7.719889243,0.910077133,3.690270657,0.910077133,2.876609252,4.758645856,0.910077133,-1.643680545,0.910077133,0.910077133,0.42800755,1.935415342,0.910077133,-2.229872069,0.910077133,0.910077133,4.670511384,0.910077133,0.910077133,9.049669935,5.455820453,1.883251388,0.910077133
68,1989-Q4,2.228936302,6.773201037,0.87915832,2.703676898,0.87915832,2.086961142,5.832095416,0.87915832,-0.649743676,0.87915832,0.87915832,-0.505838423,1.869661853,0.87915832,-1.600323411,0.87915832,0.87915832,4.072714703,0.87915832,0.87915832,9.57612788,6.106447425,1.438985631,0.87915832
69,1990-Q1,2.405824805,6.131411376,0.94892837,3.832202038,0.94892837,1.242194587,5.356397908,0.94892837,3.231987191,0.94892837,0.94892837,1.483839128,2.018038317,0.94892837,-2.916728645,0.94892837,0.94892837,3.178373768,0.94892837,0.94892837,10.36215363,4.549676616,1.244046554,0.94892837
70,1990-Q2,1.560392563,3.58940581,0.615464921,0.515485857,0.615464921,0.341907772,4.338833398,0.615464921,3.775825883,0.615464921,0.615464921,0.918386,1.308878342,0.615464921,-1.034417096,0.615464921,0.615464921,1.988125746,0.615464921,0.615464921,7.705131647,6.123154669,0.537939241,0.615464921
71,1990-Q3,1.238314157,2.485103121,0.488427683,-0.396145138,0.488427683,-0.663514393,3.712426427,0.488427683,2.948214536,0.488427683,0.488427683,3.966792055,1.038714628,0.488427683,0.679024035,0.488427683,0.488427683,1.398127834,0.488427683,0.488427683,6.531746128,4.56263325,0.186409822,0.488427683
72,1990-Q4,1.455320374,3.034423209,0.574021345,1.477178005,0.574021345,0.83461948,2.633656696,0.574021345,1.193838506,0.574021345,0.574021345,5.127502424,1.220742372,0.574021345,1.052477192,0.574021345,0.574021345,2.086410944,0.574021345,0.574021345,5.012178552,4.978953324,0.26295397,0.574021345
73,1991-Q1,1.891325193,-0.239094058,0.117743822,1.919272327,0.117743822,-1.247538388,4.757326675,0.117743822,0.207022927,0.117743822,0.117743822,1.070362326,0.335969181,0.117743822,3.190902196,0.117743822,0.117743822,4.638751028,0.117743822,0.117743822,1.941693005,2.980063373,2.728805542,0.117743822
74,1991-Q2,-0.235240752,0.615638385,-0.277494529,1.473594032,-0.277494529,-0.097371333,3.160776503,-0.277494529,-1.343934687,-0.277494529,-0.277494529,-0.177503445,-0.925054407,-0.277494529,0.091053425,-0.277494529,-0.277494529,1.729274562,-0.277494529,-0.277494529,1.104455566,3.248333337,1.017565765,-0.277494529
75,1991-Q3,-0.914007218,-0.270625848,-0.613019745,-0.793822336,-0.613019745,-0.884060018,2.002098069,-0.613019745,-1.538038915,-0.613019745,-0.613019745,-0.9226155,-1.063719255,-0.613019745,-1.10262608,-0.613019745,-0.613019745,0.385335744,-0.613019745,-0.613019745,-0.673296901,0.818105548,-0.02068016,-0.613019745
76,1991-Q4,-0.417147701,0.138513655,-0.542314446,-0.579069963,-0.542314446,-0.826968203,0.88187576,-0.542314446,-0.791161012,-0.542314446,-0.542314446,-0.578579655,-1.307327601,-0.542314446,-0.558274044,-0.542314446,-0.542314446,0.301942323,-0.542314446,-0.542314446,-1.071805301,1.027071577,0.489932145,-0.542314446
